lat,lng,max temp,humidity,cloudiness,wind speed,country,date
50.2653,-5.0544,283.57,76,40,12.35,GB,1644185895
21,-99.9167,296.22,21,31,0.53,MX,1644185896
-20.0064,57.6608,299.47,82,84,1.34,MU,1644185897
50.5667,123.7167,250.39,98,65,1.43,CN,1644185900
20.7,-105.2,297.72,69,75,5.14,MX,1644185901
-22.2763,166.4572,303.14,81,58,2.06,NC,1644185653
54.7682,-101.865,257.01,90,100,4.49,CA,1644185612
-34.7333,135.8667,296.26,59,0,6.37,AU,1644185845
-3.8004,102.2655,297.35,88,100,4.15,ID,1644185729
10.9995,122.6711,295.93,91,85,3.73,PH,1644185907
73.5069,80.5464,244.64,99,94,5.11,RU,1644185909
-8.1181,111.8935,297.09,93,100,2.21,ID,1644185910
12.0708,1.7889,297.55,17,0,3.39,BF,1644185911
57.8406,108.3492,256.97,99,100,1.36,RU,1644185915
35.2833,25.4667,285.83,82,9,1.29,GR,1644185916
55.3422,-131.6461,280.41,93,100,8.23,US,1644185738
-19.0595,-169.9187,301.09,83,100,3.6,NU,1644185843
27.9769,-114.0611,293.62,22,0,4.45,MX,1644185920
32.6881,128.8419,279.64,60,97,6.3,JP,1644185921
8.9242,-67.4293,306.91,32,19,2.34,VE,1644185923
51.65,-103.5343,264.16,95,82,3.72,CA,1644185924
39.7333,118.45,269.64,36,40,1.88,CN,1644185925
-0.3167,102.35,295.42,98,100,1.24,ID,1644185926
37.1041,-113.5841,290.41,17,0,1.79,US,1644185928
50.2334,-63.5986,259.15,60,40,5.66,CA,1644185929
53.5102,142.9671,256.01,93,100,10.6,RU,1644185931
7.3833,8.5667,300.69,15,4,2.22,NG,1644185933
43.3476,3.219,283.86,62,0,11.83,FR,1644185934
50.1,1.8333,282.3,75,62,10.89,FR,1644185936
-37.6167,-73.65,290.96,74,0,6.21,CL,1644185761
-15.386,35.3188,290.74,90,6,1.61,MW,1644185938
63.7898,74.523,244.91,100,90,3.18,RU,1644185940
45.1219,-95.0433,261.98,67,0,9.26,US,1644185932
32.6667,-17.1,290.5,71,10,5.53,PT,1644185940
-7.4706,110.2178,298.01,93,100,2.09,ID,1644185943
-5.1989,-35.4608,300.65,72,1,5.58,BR,1644185944
60.1432,-45.2371,264.86,65,100,10.87,GL,1644185946
50.1001,-91.917,261.36,67,20,2.06,CA,1644185947
-22.6667,167.4833,300.04,82,77,1.03,NC,1644185846
-41.8697,-73.8203,295.05,70,8,3.34,CL,1644185756
1.4801,103.3899,299.22,89,100,2.7,MY,1644185953
24.6877,46.7219,283.23,41,0,3,SA,1644185956
63.4427,-20.2734,274.96,60,100,12.54,IS,1644185957
-20.2333,164.0167,300.54,81,100,5.25,NC,1644185937
55.1001,-105.2842,261.29,85,100,4.63,CA,1644185961
28.2333,83.9833,281.61,76,14,1.5,NP,1644185702
-38.2667,141.9667,292.79,53,0,3.99,AU,1644185964
-6.1219,141.2906,296.73,98,97,0.24,PG,1644185965
-22.9661,-42.0278,300.07,74,40,7.72,BR,1644185969
20.5022,-10.0711,293.47,10,0,4.27,MR,1644185970
30.15,62.6,284.98,29,0,3.33,AF,1644185972
-18.7667,46.0333,292.68,92,98,4.23,MG,1644185973
-24.8667,113.6333,295.19,64,11,9.64,AU,1644185929
33.194,-82.5271,282.53,52,100,2.88,US,1644185976
-33.6971,-53.4616,293.44,47,7,5.85,UY,1644185977
61.994,-49.6678,257.67,81,100,5.48,GL,1644185846
-34.0527,23.3716,295.95,59,39,2.82,ZA,1644185979
43.6475,111.9767,256.25,87,5,2.22,CN,1644185889
-35.1667,173.1667,297.23,93,99,2.9,NZ,1644185982
27.8667,77.2,283.41,75,2,0.83,IN,1644185983
26.5881,127.9761,288.19,70,80,3.54,JP,1644185984
41.1415,-73.3579,272.58,67,0,2.68,US,1644185481
46.4333,26.4,276.15,70,100,2.77,RO,1644185987
-4.9667,39.8333,299.66,86,100,3.16,TZ,1644185988
8.8486,7.8736,298.36,17,23,1.29,NG,1644185990
56.4845,9.1462,275.27,93,99,5.83,DK,1644185991
68.0531,39.5131,263.41,86,99,9.39,RU,1644185992
14.35,121.0167,298.72,81,75,2.06,PH,1644185994
68.0546,166.4372,245.84,78,8,2.02,RU,1644185995
-8.8368,13.2343,297.18,83,99,3.7,AO,1644185996
25.2934,32.554,286.16,39,0,4.17,EG,1644185998
44.4833,26.4333,278.74,51,53,3.49,RO,1644185999
5.6167,-54.4,298.47,81,99,1.94,SR,1644186001
67.5447,133.385,236.69,98,100,0.49,RU,1644186002
43.3376,-6.4145,279.58,86,72,1.69,ES,1644186003
66.4167,112.4,248.78,98,99,1.81,RU,1644186005
